DataHora;Copo;Cidade;Entrega;Pagamento;Acomp1;Acomp2;Acomp3;Cobertura;IdPedido
2021-06-21 18:18:28;1;7;2;3;6;8;11;6;1
2021-04-17 11:33:12;1;4;1;4;5;2;11;8;2
2022-12-12 18:47:01;3;13;2;4;8;8;3;8;3
2022-03-09 20:58:19;2;3;1;2;11;1;9;7;4
2023-11-28 10:16:17;4;6;2;2;4;3;4;10;5
2021-07-29 11:37:20;3;7;2;1;7;6;9;8;6
2021-09-26 18:38:45;4;14;2;2;8;7;6;1;7
2023-08-18 10:34:27;4;16;1;2;10;6;1;6;8
2023-09-20 16:57:53;1;15;1;3;9;7;9;5;9
2022-04-22 13:32:51;4;2;1;3;5;3;3;8;10
2021-09-19 18:37:13;4;6;2;1;6;6;2;1;11
2023-05-13 16:24:45;5;13;1;2;4;9;4;9;12
2023-11-21 19:15:18;2;1;1;2;9;4;11;1;13
2020-01-09 18:58:45;5;8;2;3;10;1;11;9;14
2022-01-07 18:35:12;1;14;2;2;4;1;7;10;15
2021-01-16 13:45:58;5;8;2;4;2;8;3;10;16
2020-03-14 15:14:00;4;8;2;2;4;8;11;10;17
2020-11-12 17:26:32;4;7;2;4;1;3;6;9;18
2021-04-29 20:27:48;2;9;1;4;9;6;6;3;19
2020-07-29 11:11:21;4;7;2;3;4;7;4;7;20
2022-07-17 17:48:26;4;15;2;3;9;7;10;10;21
2021-12-08 18:28:47;5;12;2;4;5;1;6;9;22
2021-10-20 20:50:36;4;5;1;3;9;7;6;5;23
2022-07-11 17:16:41;3;11;1;2;6;6;3;5;24
2021-10-26 15:46:46;5;15;1;4;4;6;1;5;25
2023-02-06 13:21:18;1;12;1;2;1;4;11;8;26
2020-10-06 10:18:01;1;14;1;2;9;2;9;4;27
2020-07-23 13:46:44;3;3;2;3;2;7;4;5;28
2022-08-17 11:37:19;4;16;2;1;1;6;8;7;29
2023-02-25 17:58:47;2;14;1;1;9;3;9;2;30
2022-04-08 09:16:46;1;8;2;3;10;4;1;2;31
2023-07-09 19:07:05;1;6;1;4;6;8;5;4;32
2023-10-18 19:58:05;4;3;1;2;7;6;2;5;33
2021-11-06 17:33:52;5;2;1;1;7;2;1;1;34
2022-07-15 11:01:13;1;11;1;2;5;3;4;6;35
2022-11-06 11:56:24;5;8;2;1;2;7;9;8;36
2021-02-01 17:13:36;5;2;1;2;5;5;3;10;37
2021-01-19 16:08:05;3;14;1;2;1;7;11;6;38
2023-10-17 19:01:05;1;8;1;1;10;9;9;1;39
2022-12-24 14:37:10;1;9;1;3;9;4;7;6;40
2022-06-03 12:46:33;4;10;1;2;9;1;4;6;41
2021-03-29 17:14:29;1;3;2;3;11;6;2;9;42
2023-11-11 14:03:59;1;10;2;3;3;1;2;5;43
2021-03-14 16:30:37;1;15;1;4;6;3;2;2;44
2021-02-09 19:17:56;3;14;1;2;2;1;2;1;45
2022-02-14 13:19:37;1;3;1;4;8;5;2;5;46
2021-03-14 14:35:45;3;13;2;4;2;6;5;7;47
2023-08-24 13:13:12;4;14;1;3;5;1;5;10;48
2021-05-01 09:50:26;3;4;1;4;7;5;1;7;49
2020-07-25 15:53:40;5;15;2;3;3;8;1;5;50
2022-02-18 19:28:30;5;5;2;4;4;8;5;4;51
2020-11-16 15:36:45;1;5;1;1;11;1;8;9;52
2023-01-19 18:58:35;2;16;1;3;9;9;8;7;53
2021-06-22 20:55:28;5;3;1;1;1;6;6;2;54
2023-10-04 14:22:31;2;13;1;1;2;5;2;2;55
2021-12-04 09:27:36;1;5;1;3;6;5;2;5;56
2020-05-17 15:37:42;1;1;1;3;11;3;6;7;57
2021-01-16 16:00:42;2;4;1;4;9;4;11;1;58
2022-05-06 13:15:06;2;3;1;1;4;6;9;10;59
2020-12-19 11:22:38;4;7;1;1;5;11;2;6;60
2020-12-30 11:20:19;3;4;1;1;2;3;4;5;61
2022-01-03 14:47:08;4;7;1;2;9;10;4;8;62
2020-01-14 15:40:18;4;4;2;4;2;4;1;9;63
2022-03-18 12:23:42;3;1;1;2;7;11;2;3;64
2021-06-13 11:36:16;1;15;2;3;4;4;9;7;65
2020-10-24 17:13:31;2;13;1;1;4;2;10;3;66
2023-05-30 12:28:38;2;4;2;3;10;3;3;6;67
2021-02-17 18:20:13;2;9;2;2;7;5;7;10;68
2023-10-26 10:31:10;2;15;2;3;3;1;11;9;69
2021-06-11 17:58:06;3;9;1;1;6;1;5;2;70
2021-08-01 14:58:20;4;13;1;4;5;1;9;2;71
2020-12-13 10:29:29;1;6;2;3;8;2;6;5;72
2021-11-04 19:11:55;3;17;1;3;10;6;3;5;73
2023-06-26 09:51:35;3;8;1;1;11;7;11;2;74
2023-03-09 20:06:47;5;4;2;3;9;2;11;7;75
2023-09-17 09:22:11;5;6;1;3;10;10;6;9;76
2021-01-19 19:24:41;5;16;1;2;6;7;3;3;77
2023-08-06 10:12:02;1;15;1;1;1;9;1;2;78
2021-03-08 14:43:00;1;3;2;4;5;8;1;7;79
2023-08-15 15:53:50;5;5;2;2;8;5;1;9;80
2021-10-14 15:09:06;2;13;1;2;7;11;2;10;81
2023-06-15 20:43:46;1;8;2;4;1;4;11;7;82
2023-06-27 14:18:28;3;14;1;1;4;7;1;3;83
2023-11-22 17:07:23;2;16;1;2;10;2;7;4;84
2023-11-16 17:58:14;1;10;1;4;8;11;5;10;85
2022-10-26 13:19:38;4;6;2;3;10;6;9;7;86
2020-06-18 11:32:54;4;10;1;1;11;7;3;2;87
2021-07-15 17:03:04;1;3;2;1;7;7;4;5;88
2023-05-27 12:18:43;2;13;1;1;9;1;11;10;89
2023-10-15 13:23:33;4;16;1;4;9;10;11;9;90
2020-03-22 16:50:18;1;11;2;4;8;8;10;4;91
2020-05-08 11:54:31;1;16;2;2;3;8;11;7;92
2021-10-24 19:01:54;3;15;1;2;1;3;5;9;93
2023-10-31 18:25:46;4;2;1;2;7;7;2;3;94
2022-12-23 11:15:36;2;12;1;2;5;6;7;1;95
2022-03-24 13:44:44;3;10;2;3;1;5;6;5;96
2023-04-22 12:23:46;4;10;1;4;8;6;9;4;97
2022-05-13 10:43:39;5;1;2;4;4;9;3;5;98
2021-11-09 14:25:50;4;6;1;1;3;8;2;3;99
2022-10-10 09:46:39;2;17;1;3;10;10;6;4;100
2021-11-17 09:17:01;5;6;2;2;8;11;1;1;101
2020-01-21 18:09:21;3;7;2;4;10;2;1;9;102
2021-08-13 16:19:11;5;4;2;3;5;5;7;8;103
2021-06-11 16:00:25;3;14;1;2;5;5;10;8;104
2022-01-11 10:20:29;2;9;1;3;4;3;1;5;105
2022-10-29 13:06:18;4;16;1;3;1;1;6;8;106
2020-09-06 15:21:12;1;3;2;1;7;8;3;6;107
2021-11-12 09:03:41;4;11;1;1;6;9;1;7;108
2022-12-14 09:03:07;1;4;1;4;9;5;7;7;109
2021-01-30 12:00:42;4;13;2;1;9;11;11;4;110
2020-08-30 14:39:14;1;13;1;2;7;5;1;6;111
2023-05-18 15:41:13;2;2;2;1;5;9;10;6;112
2023-05-01 09:16:43;2;7;2;2;9;1;2;9;113
2022-12-17 15:01:06;1;3;2;1;10;2;8;6;114
2023-12-01 13:30:29;2;13;2;1;7;9;9;3;115
2020-06-18 16:24:19;4;3;1;1;11;9;1;2;116
2021-07-25 14:43:56;2;8;1;4;3;9;3;10;117
2020-11-13 20:30:29;4;15;1;4;4;5;2;2;118
2020-03-29 13:37:54;1;14;1;4;9;5;10;4;119
2022-03-21 19:27:21;1;17;1;1;4;3;1;2;120
2023-06-19 15:17:24;2;11;2;2;9;9;8;9;121
2020-11-29 12:01:27;5;1;1;3;5;2;11;6;122
2022-08-29 14:24:16;5;6;1;4;7;6;5;7;123
2021-08-28 09:38:00;4;2;2;2;10;1;6;8;124
2023-10-10 15:21:37;1;13;2;2;3;10;1;4;125
2022-04-11 20:47:08;3;14;1;1;10;7;6;9;126
2023-09-18 12:50:11;3;13;1;1;2;7;3;2;127
2022-10-25 16:23:57;3;1;1;2;5;8;6;1;128
2022-05-03 12:32:38;2;9;2;3;10;1;4;1;129
2022-03-09 12:32:48;1;11;2;2;9;4;3;4;130
2021-05-03 13:23:57;5;4;1;1;3;4;10;6;131
2021-05-24 16:10:09;1;2;2;2;8;7;10;10;132
2020-06-08 11:24:35;5;5;1;4;11;1;5;9;133
2023-05-02 12:12:05;1;8;1;4;5;2;1;1;134
2021-01-31 14:02:56;4;5;2;3;6;3;8;9;135
2023-01-31 11:05:28;2;9;2;1;10;9;3;1;136
2022-11-28 10:24:20;2;4;1;2;5;7;11;10;137
2023-04-25 14:23:52;1;1;2;1;11;2;8;4;138
2021-05-27 16:02:08;4;16;1;2;1;7;3;4;139
2022-11-11 10:30:51;2;16;2;3;1;4;4;1;140
2023-10-24 09:57:56;4;16;1;3;3;4;6;4;141
2021-12-01 20:42:33;3;8;1;2;5;7;2;3;142
2021-04-03 14:23:25;1;12;1;3;11;9;3;1;143
2020-04-17 13:41:18;4;6;2;4;2;5;9;8;144
2021-01-11 16:10:49;1;1;2;4;1;7;2;3;145
2022-10-06 15:21:42;2;8;1;3;1;1;3;9;146
2020-04-17 10:08:26;4;10;2;2;8;2;9;3;147
2022-03-05 09:02:46;1;11;2;2;3;4;8;4;148
2022-11-01 14:55:33;4;11;1;4;2;3;6;3;149
2021-07-06 19:48:16;3;9;1;4;2;10;5;7;150
2021-08-01 11:31:33;1;13;2;1;3;9;10;2;151
2023-01-12 19:40:25;1;4;1;3;10;1;1;7;152
2022-10-12 16:15:10;2;17;1;4;7;8;11;10;153
2020-02-06 15:41:49;5;2;1;2;5;8;9;9;154
2020-03-15 13:21:35;5;16;1;3;7;11;4;10;155
2021-02-27 09:02:52;4;2;2;4;11;5;11;5;156
2020-03-10 18:24:24;1;2;1;2;2;8;9;6;157
2022-04-08 20:57:33;2;3;2;1;10;8;5;7;158
2022-07-13 15:26:12;3;5;2;2;4;6;3;7;159
2020-08-18 17:52:34;3;16;1;3;6;1;1;2;160
2022-02-02 19:28:37;1;6;2;3;6;6;10;3;161
